"","CHEMICAL_NAME","STUDY_TITLE","ACCESSION_NUMBER","ORGANIZATION_NAME","STUDY_CONCLUSION","DEPOSITOR_STUDY_NUMBER","DOSE","DOSE_UNIT","START_DATE","TRIAL_RESULT","MICROSOMAL_ACTIVATION_USED","MICROSOMAL_ACTIVATION_SPECIES","PROTOCOL_TYPE","GROUP_NAME","IS_CONTROL_GROUP","STRAIN","TREATMENT_GROUP_TYPE","SUBJECT_NAME","TIME_IN_STUDY","TIME_IN_STUDY_UNIT","BKGRD","COUNT","COUNT_UNIT","COUNT_SEM","COUNT_MEAN","newCount","logDose","RESULT"
"553203","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",1000,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","4_6_1000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","4_6_1000.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,156,"count",NA,NA,156,0.0836287429038129,"0"
"553204","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",1000,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","4_6_1000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","4_6_1000.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,159,"count",NA,NA,159,0.0834957361499275,"0"
"553205","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",1000,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","4_6_1000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","4_6_1000.0_ug/Plate_4-Methylcyclohexanemethanol_C",2,"day",NA,156,"count",NA,NA,156,0.0836287429038129,"0"
"553206","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",1000,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","4_6_1000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","",2,"day",NA,NA,"",1,157,157,0.0835840780146472,"0"
"553207","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","10_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA100","Test Chemical","10_2_200.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,87,"count",NA,NA,87,0.102414677079659,"0"
"553208","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","10_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA100","Test Chemical","10_2_200.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,99,"count",NA,NA,99,0.101077105772074,"0"
"553209","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","10_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA100","Test Chemical","10_2_200.0_ug/Plate_4-Methylcyclohexanemethanol_C",2,"day",NA,101,"count",NA,NA,101,0.100873179593486,"0"
"553211","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","11_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","11_2_200.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,25,"count",NA,NA,25,0.11740957114931,"0"
"553212","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","11_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","11_2_200.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,16,"count",NA,NA,16,0.123901825767643,"0"
"553213","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","11_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","11_2_200.0_ug/Plate_4-Methylcyclohexanemethanol_C",2,"day",NA,21,"count",NA,NA,21,0.119863262805071,"0"
"553493","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","11_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","",2,"day",NA,NA,"",2.6,21,21,0.119863262805071,"0"
"553494","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","12_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","12_2_200.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,139,"count",NA,NA,139,0.0977250459541177,"0"
"553495","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","12_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","12_2_200.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,137,"count",NA,NA,137,0.0978636531628849,"0"
"553497","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","12_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","",2,"day",NA,NA,"",6.4,144,144,0.0973887100306521,"0"
"553498","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","2_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA100","Test Chemical","2_2_200.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,123,"count",NA,NA,123,0.098907059956472,"0"
"553503","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","3_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","3_2_200.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,21,"count",NA,NA,21,0.119863262805071,"0"
"553505","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",200,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","3_2_200.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","",2,"day",NA,NA,"",5.2,28,28,0.11586784835075,"0"
"553506","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","10_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA100","Test Chemical","10_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,0,"count",NA,NA,0,0,"0"
"553508","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","10_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA100","Test Chemical","10_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol_C",2,"day",NA,0,"count",NA,NA,0,0,"0"
"553790","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","11_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","11_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol_C",2,"day",NA,0,"count",NA,NA,0,0,"0"
"553792","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","12_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","12_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,0,"count",NA,NA,0,0,"0"
"553794","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","12_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","12_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol_C",2,"day",NA,0,"count",NA,NA,0,0,"0"
"553796","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","2_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA100","Test Chemical","2_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,0,"count",NA,NA,0,0,"0"
"553800","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","3_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","3_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,0,"count",NA,NA,0,0,"0"
"553801","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","3_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","3_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,0,"count",NA,NA,0,0,"0"
"553802","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","3_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","3_8_2000.0_ug/Plate_4-Methylcyclohexanemethanol_C",2,"day",NA,0,"count",NA,NA,0,0,"0"
"553804","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","4_7_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","4_7_2000.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,0,"count",NA,NA,0,0,"0"
"554082","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","4_7_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","4_7_2000.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,0,"count",NA,NA,0,0,"0"
"554083","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2000,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","4_7_2000.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","4_7_2000.0_ug/Plate_4-Methylcyclohexanemethanol_C",2,"day",NA,0,"count",NA,NA,0,0,"0"
"554086","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","10_3_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA100","Test Chemical","10_3_300.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,80,"count",NA,NA,80,0.0991492094645069,"0"
"554087","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","10_3_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA100","Test Chemical","10_3_300.0_ug/Plate_4-Methylcyclohexanemethanol_C",2,"day",NA,103,"count",NA,NA,103,0.0967257233877328,"0"
"554090","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","11_3_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","11_3_300.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,19,"count",NA,NA,19,0.11563071150982,"0"
"554092","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","11_3_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","",2,"day",NA,NA,"",1.9,17,17,0.117137224995247,"0"
"554093","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","12_3_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","12_3_300.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,142,"count",NA,NA,142,0.0938120666590892,"0"
"554094","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","12_3_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","12_3_300.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,162,"count",NA,NA,162,0.0926665644508428,"0"
"554095","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","No Activation","N/A","Preincubation","12_3_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","12_3_300.0_ug/Plate_4-Methylcyclohexanemethanol_C",2,"day",NA,154,"count",NA,NA,154,0.0931034973700151,"0"
"554098","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","2_3_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA100","Test Chemical","2_3_300.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,101,"count",NA,NA,101,0.096909526218434,"0"
"554355","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2,"ug/Plate",2015-02-05,"Negative","10% RLI","Rat","Preincubation","8_12_2.0_ug/Plate_2-Aminoanthracene",TRUE,"TA98","Positive Control","8_12_2.0_ug/Plate_2-Aminoanthracene_A",2,"day",NA,1338,"count",NA,NA,1338,0.126709333919904,"0"
"554356","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2,"ug/Plate",2015-02-05,"Negative","10% RLI","Rat","Preincubation","8_12_2.0_ug/Plate_2-Aminoanthracene",TRUE,"TA98","Positive Control","8_12_2.0_ug/Plate_2-Aminoanthracene_B",2,"day",NA,1799,"count",NA,NA,1799,0.122127956321262,"0"
"554357","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2,"ug/Plate",2015-02-05,"Negative","10% RLI","Rat","Preincubation","8_12_2.0_ug/Plate_2-Aminoanthracene",TRUE,"TA98","Positive Control","8_12_2.0_ug/Plate_2-Aminoanthracene_C",2,"day",NA,1523,"count",NA,NA,1523,0.124663649161754,"0"
"554358","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2,"ug/Plate",2015-02-05,"Negative","10% RLI","Rat","Preincubation","8_12_2.0_ug/Plate_2-Aminoanthracene",TRUE,"TA98","Positive Control","",2,"day",NA,NA,"",133.9,1553,1553,0.124361234009016,"0"
"554359","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",20,"ug/Plate",2015-02-05,"Negative","10% RLI","Rat","Preincubation","9_12_20.0_ug/Plate_2-Aminoanthracene",TRUE,"eColi pKM101","Positive Control","9_12_20.0_ug/Plate_2-Aminoanthracene_A",2,"day",NA,692,"count",NA,NA,692,0.1048732696661,"0"
"554360","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",20,"ug/Plate",2015-02-05,"Negative","10% RLI","Rat","Preincubation","9_12_20.0_ug/Plate_2-Aminoanthracene",TRUE,"eColi pKM101","Positive Control","9_12_20.0_ug/Plate_2-Aminoanthracene_B",2,"day",NA,662,"count",NA,NA,662,0.105362999546027,"0"
"554361","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",20,"ug/Plate",2015-02-05,"Negative","10% RLI","Rat","Preincubation","9_12_20.0_ug/Plate_2-Aminoanthracene",TRUE,"eColi pKM101","Positive Control","9_12_20.0_ug/Plate_2-Aminoanthracene_C",2,"day",NA,778,"count",NA,NA,778,0.103600545825166,"0"
"554363","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","3_12_2.0_ug/Plate_2-Aminoanthracene",TRUE,"TA98","Positive Control","3_12_2.0_ug/Plate_2-Aminoanthracene_A",2,"day",NA,1454,"count",NA,NA,1454,0.125388377354181,"0"
"554364","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","3_12_2.0_ug/Plate_2-Aminoanthracene",TRUE,"TA98","Positive Control","3_12_2.0_ug/Plate_2-Aminoanthracene_B",2,"day",NA,1363,"count",NA,NA,1363,0.126412811510006,"0"
"554366","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",2,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","3_12_2.0_ug/Plate_2-Aminoanthracene",TRUE,"TA98","Positive Control","",2,"day",NA,NA,"",116.8,1295,1295,0.127235962827938,"0"
"554367","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",20,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","4_12_20.0_ug/Plate_2-Aminoanthracene",TRUE,"eColi pKM101","Positive Control","4_12_20.0_ug/Plate_2-Aminoanthracene_A",2,"day",NA,1107,"count",NA,NA,1107,0.0999486143557933,"0"
"554369","2-Aminoanthracene","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",20,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","4_12_20.0_ug/Plate_2-Aminoanthracene",TRUE,"eColi pKM101","Positive Control","4_12_20.0_ug/Plate_2-Aminoanthracene_C",2,"day",NA,1235,"count",NA,NA,1235,0.0988673897890855,"0"
"554373","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","2_3_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA100","Test Chemical","2_3_300.0_ug/Plate_4-Methylcyclohexanemethanol_C",2,"day",NA,94,"count",NA,NA,94,0.0975888026338515,"0"
"554376","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","3_3_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","3_3_300.0_ug/Plate_4-Methylcyclohexanemethanol_B",2,"day",NA,27,"count",NA,NA,27,0.111115810807905,"0"
"554378","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","3_3_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"TA98","Test Chemical","",2,"day",NA,NA,"",0.9,26,26,0.111583742492548,"0"
"554379","4-Methylcyclohexanemethanol","Genetic Toxicity Evaluation of 4-Methylcyclohexanemethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14001B","002-03272-0004-0000-0","NTP","Negative","G14001B",300,"ug/Plate",2015-02-24,"Negative","10% RLI","Rat","Preincubation","4_2_300.0_ug/Plate_4-Methylcyclohexanemethanol",NA,"eColi pKM101","Test Chemical","4_2_300.0_ug/Plate_4-Methylcyclohexanemethanol_A",2,"day",NA,200,"count",NA,NA,200,0.0908917401617167,"0"
